Judgments by year and court
The complete position. A blank cell means no judgments are held for that court in that year.
Year,Patna,Bombay,Allahabad,Madras,Telangana,Kerala,Karnataka,Chhattisgarh,Punjab and Haryana,Gujarat,Madhya Pradesh,Rajasthan,Delhi,Gauhati,Orissa,Andhra Pradesh,Jharkhand,Calcutta,Himachal Pradesh,Uttarakhand,Jammu and Kashmir,Supreme Court of India,Tripura,Manipur,Meghalaya,Sikkim,All courts
1950,,,,,,1,,,,,,,,,,,,,,9,,41,,,,,51
1951,,,,,,2,,,,,,,,,,,,,,,,41,,,,,43
1952,,,,,,3,,,,,,,,,,,,,,,,69,,,,,72
1953,,2,,,,2,,,,,,,,,,,,,,,,84,,,,,88
1954,,,,,,6,,,,,,,,,,,,,,,,80,,,,,86
1955,,5,,,,10,,,,,,,,,,,,,,,,177,,,,,192
1956,,,,,,7,,,,,,,,,,,,,,,,61,,,,,68
1957,,,,,,,,,,,,,,,,,,,,,,72,,,,,72
1958,,1,,,,6,,,,,,,,,,,,,,,,85,,,,,92
1959,,,,,,,,,,,,,,,,,,,,,,168,,,,,168
1960,,,,,,,,,,,,,1,,,,,1,,,,211,,,,,213
1961,,,,,,,,,,,,,,,,,,,,,,228,,,,,228
1962,,5,,,,,,,,,,,,,,,,,,,,407,,,,,412
1963,,,,,1,,,,,,,,,,,,,,,,,270,,,,,271
1964,,,,,,,,,,,,,,,,,,1,,,,447,,,,,448
1965,,,,,,,,,,,,,,,,,,,,,,245,,,,,245
1966,,,,,,,,,,,,,,,,,,1,,,,325,,,,,326
1967,1,,,,,,,,,,,,,,,,,,,,,293,,,,,294
1968,,,,,,,,,,,,,,,,,,1,,,,265,,,,,266
1969,,4,,,,,,,,,,,,,,,,,,,,316,,,,,320
1970,,,,,,1,,1,,,,,,,,,,,1,,,322,,,,,325
1971,,5,,,,,,,,,,,,,,,,,,,,371,,,,,376
1972,1,,,,,,,,,,,,,,,,,,,,,273,,,,,274
1973,,,,,,,,,,,,,,,,,,,,,,304,,,,,304
1974,,1,,,,,,,,,,,,,,,,,,,,263,,,,,264
1975,,,,,,,,,,,,,,,,,,,,,,319,,,,,319
1976,,6,,,,,,,,,,,,,,,,,,,,362,,,,,368
1977,,,,,,,,,,,,,,,,,,,,,,329,,,,,329
1978,3,,,,,,,,,,,,,,,,,,,,,221,,,,,224
1979,,,,,,,,,,,,,,,,,,2,,,,262,,,,,264
1980,3,,,,,1,,,,,,,,,,,,1,,,,293,,,,,298
1981,,,,,,,,,,,,,,,,,,,,,,226,,,,,226
1982,,,,,,1,,,,1,,,,,,,,,,,,151,,,,,153
1983,,,,,,,,,,,,,,,,,,,,,,174,,,,,174
1984,2,,,,,,,,,,,,,,,,,,,,,199,,,,,201
1985,,,,,,7,,,,,,,,,,,,,,,,381,,,,,388
1986,,,,,,,,,,1,,,,,,,,6,,,,216,,,,,223
1987,,,,,,1,,,,1,,,,,,,,,1,,,308,,,,,311
1988,,,,,,,,,,1,,,,,,,,,,,,520,,,,,521
1989,8,20,,,,,,,,,,1,,,,,,,,,,397,,,,,426
1990,,,,,,,,,,,,1,,,,,,,,,,401,,,,,402
1991,,,,,1,,,1,,,,,,,,,,,,,,350,,,,,352
1992,,18,2,,,,,,,2,,,,,1,,,2,,,,358,,,,,383
1993,,,1,,6,,,,,125,,,,,,,1,,,,,397,,,,,530
1994,16,71,,,13,,,1,,15,,,,,,,1,,,,,623,,,,,740
1995,,,,,17,,,,,282,,,,,,1,,,,,,915,,,,,1215
1996,,122,,,32,,,1,,3944,,2,1,,,1,,,,,,1531,,,,,5634
1997,23,152,,1,42,2,,,,6326,,,6,,2,,,,14,1,,833,,,,,7402
